key,IPA,Consonantal?,Voiced?,Sibilant?,Lateral?,Place of articulation,"Place
value",Manner of articulation,"Sonority
value"
157,f~ç,+,−,−,−,B~Ɉ,0.25,F,2
158,ç~ʃ,+,−,−/+,−,Ɉ,-1,F,2
159,s (ʃ),+,−,+,−,D (Ɉ),0.5,F,2
160,s~ʃ,+,−,+,−,D~Ɉ,0.25,F,2
161,s̠~s,+,−,+,−,D,0.75,F,2
162,s̪~ʃ~h,+,−,+ (−),−,D~Ɉ~H,-1.722222222,F,2
163,ʃ~k~h,+,−,− (+),−,Ɉ~K~H,-3.166666667,F (P),2.666666667
164,b~β̞,+,+,−,−,B,3,P~W,2.25
165,b~β,+,+,−,−,B,3,P~F,3
166,β~β̞,+,+,−,−,B,3,F~W,1.25
167,v~β̞,+,+,−,−,B,2.75,F~W,1.25
168,d~ð̞,+,+,−,−,D,1.75,P~W,2.25
169,d~ð,+,+,−,−,D,1.833333333,P~F,3
170,ð~ð̞,+,+,−,−,D,1.916666667,F~W,1.25
171,ɡ~ɣ̞,+,+,−,−,K,-3,P~W,2.25
172,ɡ~ɣ,+,+,−,−,K,-3,P~F,3
173,ɣ~ɣ̞,+,+,−,−,K,-3,F~W,1.25
174,ʝ~∅,+/−,+/−,−,−,Ɉ,-2,W~∅,-1
175,ð̞~∅,+/−,+/−,−,−,D,1.833333333,W~∅,0.25
176,ɡ (ħ),+,+ (−),−,−,K (H),-3.666666667,P (F),3.333333333
177,ɣ̞ (ħ),+,+ (−),−,−,K (H),-3.666666667,W (F),1
178,tt͡s̪,+,−,+,−,D,1.333333333,PP͡F,3.75
179,dd͡z̪,+,+,+,−,D,1.333333333,PP͡F,3.75
180,tt͡s,+,−,+,−,D,1,PP͡F,3.75
181,dd͡z,+,+,+,−,D,1,PP͡F,3.75
182,tt͡s̠,+,−,+,−,D,0.5,PP͡F,3.75
183,dd͡z̠,+,+,+,−,D,0.5,PP͡F,3.75
184,tt͡ɕ,+,−,+,−,Ɉ,0,PP͡F,3.75
185,dd͡ʑ,+,+,+,−,Ɉ,0,PP͡F,3.75
186,t̠t̠͡ʃ,+,−,+,−,Ɉ,-0.5,PP͡F,3.75
187,d̠d̠͡ʒ,+,+,+,−,Ɉ,-0.5,PP͡F,3.75
188,ʈʈ͡ʂ,+,−,+,−,Ɉ,-1.25,PP͡F,3.75
189,ɖɖ͡ʐ,+,+,+,−,Ɉ,-1.25,PP͡F,3.75
190,dd͡z~d̠d̠͡ʒ,+,+,+,−,D~Ɉ,0.25,PP͡F,3.75
191,◌̃,−,+,−,−,D,0.75,N~∅,0.75
192,β̞~∅,+/−,+/−,−,−,B,3,W~∅,0.25
193,ʝ~ʃ,+,+/−,−/+,−,Ɉ,-1.25,F,2
194,̠d̠͡ʒ (d͡z̠),+,+,+,−,Ɉ (D),-0.166666667,P͡F,3
195,pp,+,−,−,−,B,3,PP,5
196,bb,+,+,−,−,B,3,PP,5
197,t̪t̪,+,−,−,−,D,1.666666667,PP,5
198,d̪d̪,+,+,−,−,D,1.666666667,PP,5
199,tt,+,−,−,−,D,0.75,PP,5
200,dd,+,+,−,−,D,0.75,PP,5
201,ɖɖ,+,+,−,−,Ɉ,-1.25,PP,5
202,kkʷ,+,−,−,−,BK,-1.5,PP,5
203,gɡʷ,+,+,−,−,BK,-1.5,PP,5
204,cc,+,−,−,−,Ɉ,-2,PP,5
205,ɟɟ,+,+,−,−,Ɉ,-2,PP,5
206,kk,+,−,−,−,K,-3,PP,5
207,gg,+,+,−,−,K,-3,PP,5
208,ff,+,−,−,−,B,2.5,FF,2.5
209,vv,+,+,−,−,B,2.5,FF,2.5
210,θθ,+,−,−,−,D,2,FF,2.5
211,ðð,+,+,−,−,D,2,FF,2.5
212,s̟s̟,+,−,+,−,D,1.666666667,FF,2.5
213,z̟z̟,+,+,+,−,D,1.666666667,FF,2.5
214,s̪s̪,+,−,+,−,D,1.333333333,FF,2.5
215,z̪z̪,+,+,+,−,D,1.333333333,FF,2.5
216,ss,+,−,+,−,D,1,FF,2.5
217,zz,+,+,+,−,D,1,FF,2.5
218,s̠s̠,+,−,+,−,D,0.5,FF,2.5
219,z̠z̠,+,+,+,−,D,0.5,FF,2.5
220,ɕɕ,+,−,+,−,Ɉ,0,FF,2.5
221,ʑʑ,+,+,+,−,Ɉ,0,FF,2.5
222,ʃʃ,+,−,+,−,Ɉ,-0.5,FF,2.5
223,ʒʒ,+,+,+,−,Ɉ,-0.5,FF,2.5
224,ʂʂ,+,−,+,−,Ɉ,-1.25,FF,2.5
225,ʐʐ,+,+,+,−,Ɉ,-1.25,FF,2.5
226,çç,+,−,−,−,Ɉ,-2,FF,2.5
227,ʝʝ,+,+,−,−,Ɉ,-2,FF,2.5
228,ʎ̝ʎ̝,+,+,−,+,Ɉ,-2,FF,2.5
229,mm,+,+,−,−,B,3,NN,1.875
230,ɱɱ,+,+,−,−,B,2.5,NN,1.875
231,n̪n̪,+,+,−,−,D,1.666666667,NN,1.875
232,nn,+,+,−,−,D,0.75,NN,1.875
233,ȵȵ,+,+,−,−,Ɉ,0,NN,1.875
234,n̠n̠,+,+,−,−,Ɉ,-0.5,NN,1.875
235,ɲɲ,+,+,−,−,Ɉ,-2,NN,1.875
236,r̪r̪,+,+,−,−,D,1.666666667,LL,1.5625
237,rr,+,+,−,−,D,0.75,LL,1.5625
238,ɽr,+,+,−,−,,,LL,1.5625
239,ʀʀ,+,+,−,−,Q,-4,LL,1.5625
240,l (ɰ),+,+,−,+ (−),D (K),-0.5,LW (W),0.611111111
241,ll (ȴȴ),+,+,−,+,D (Ɉ),0.5,LLWW,0.9375
242,l̪l̪,+,+,−,+,D,1.666666667,LLWW,0.9375
243,ll,+,+,−,+,D,0.75,LLWW,0.9375
244,ȴȴ [ʎ̟ʎ̟],+,+,−,+,Ɉ,0,LLWW,0.9375
245,ɫ̪ɫ̪,+,+,−,+,DQ,-1.166666667,LLWW,0.9375
246,ɭɭ,+,+,−,+,Ɉ,-1.25,LLWW,0.9375
247,ɫɫ,+,+,−,+,DQ,-1.625,LLWW,0.9375
248,ʎʎ,+,+,−,+,Ɉ,-2,LLWW,0.9375
249,ll~ɭɭ,+,+,−,+,Ɉ,-0.25,LLWW,0.9375
250,ww,+,+,−,−,BK,0,WW,0.416666667
251,jj,+,+,−,−,Ɉ,-2,WW,0.416666667
252,ʎ~ʝ,+,+,−,+/−,Ɉ,-2,LW~F,1.375
253,z~s,+,+/−,+,−,D,1,F,2
